geneid	chr	left	right
A1BG-AS1	19	58347718	58355455
A2M-AS1	12	9065163	9068689
A2ML1-AS2	12	8819816	8820713
AATBC	21	43805758	43812567
ABCA9-AS1	17	68944531	69042784
ABCC13	21	14274092	14362754
ACAD9-DT	3	128854556	128879590
ACOXL-AS1	2	111098345	111116407
ACTR3-AS1	2	113760277	113891064
ACVR2B-AS1	3	38451027	38454820
ADAM7-AS1	8	24169001	24912073
ADAMTS9-AS2	3	64684879	65061892
ADAMTSL4-AS1	1	150560202	150562115
ADAMTSL4-AS2	1	150548562	150557724
ADCY10P1	6	41101022	41138727
ADD3-AS1	10	109929547	110008393
ADGRA1-AS1	10	133083069	133088491
ADGRL1-AS1	19	14137086	14171268
ADIPOQ-AS1	3	186851886	186856123
ADIRF-AS1	10	86965288	86974630
ADORA2A-AS1	22	24429206	24495074
ADPGK-AS1	15	72782835	72798201
AFAP1-AS1	4	7754077	7778928
AFDN-DT	6	167781478	167827561
AFTPH-DT	2	64522187	64524789
AGA-DT	4	177442514	177681381
AGBL5-IT1	2	27061038	27061815
AHI1-DT	6	135497422	135894890
AKAP1-DT	17	57071407	57085127
AKT3-IT1	1	243793205	243794400
ALDH1A3-AS1	15	100892343	100920312
ALG1L9P	11	71800541	71804640
ALG9-IT1	11	111817214	111829212
ALMS1-IT1	2	73456764	73459482
ALMS1P1	2	73671030	73685085
ALOX12P2	17	6893782	6900032
AMMECR1-IT1	X	110305420	110307221
AMZ2P1	17	64968222	64973517
ANAPC1P2	2	87031815	87052992
ANKRD10-IT1	13	110894639	110899172
ANKRD18DP	3	198053522	198080512
ANKRD20A11P	21	13909574	13979911
ANKRD34C-AS1	15	79123546	79283967
ANKRD36BP2	2	88782712	88805403
ANKRD42-DT	11	83184003	83193794
ANKRD44-IT1	2	197205406	197309012
ANKRD62P1-PARP4P3	22	16654066	16675540
ANXA2R-AS1	5	43040957	43064272
ANXA2R-OT1	5	42918237	43067492
AOC4P	17	42867279	42874369
AP1G2-AS1	14	23561097	23568237
AP4B1-AS1	1	113812379	113901237
APCDD1L-DT	20	58515379	58623080
APOA1-AS	11	116836117	116856210
APOC1P1	19	44926976	44931058
APP-DT	21	26170871	26217381
APPAT	2	97416059	97437397
APPBP2-DT	17	60525460	60550798
APRG1	3	37381062	37440186
APTR	7	77657659	77697074
AQP4-AS1	18	26655505	27190698
ARHGAP27P1-BPTFP1-KPNA2P3	17	64749663	64781707
ARHGAP29-AS1	1	94246951	94411036
ARHGAP44-AS1	17	12760140	12790242
ARHGAP5-AS1	14	32073914	32076861
ARHGEF18-AS1	19	7304208	7395059
ARHGEF2-AS2	1	155978635	155982986
ARHGEF26-AS1	3	154024401	154121347
ARHGEF35-AS1	7	144194858	144300934
ARHGEF4-AS1	2	130830978	130836994
ARIH2OS	3	48917788	48919385
ARLNC1	16	80826074	80892682
ARMCX5-GPRASP2	X	102712495	102753530
ARNT2-DT	15	80344765	80411930
ARRDC1-AS1	9	137615326	137618906
ARRDC3-AS1	5	91380347	91690788
ASAH1-AS1	8	18084236	18127404
ASAP1-IT2	8	130082738	130084768
ASB16-AS1	17	44157293	44187180
ASH1L-AS1	1	155562026	155570755
ASMTL-AS1	Y	1401430	1414028
ASXL3-DT	18	33552123	33578187
ATG10-IT1	5	81991995	81992481
ATP11A-AS1	13	112745449	112754693
ATP13A3-DT	3	194487120	194521156
ATP1A1-AS1	1	116378437	116421301
ATP2B1-AS1	12	89708177	90143524
ATP6AP1-DT	X	154424377	154428549
ATP6V0D1-DT	16	67481314	67505977
ATP8B1-AS1	18	57629870	57738678
ATXN1-AS1	6	16760652	16773365
B3GALT5-AS1	21	39527841	39612910
B3GAT1-DT	11	134412267	134532225
B4GALT1-AS1	9	33166789	33182865
B4GAT1-DT	11	66347845	66364804
BAALC-AS1	8	103153394	103371410
BACE1-AS	11	117288453	117293494
BACH1-AS1	21	29370019	29376339
BACH1-IT1	21	29351634	29361894
BACH1-IT2	21	29370497	29373709
BAIAP2-DT	17	81017969	81034881
BANCR	9	69296671	69311111
BASP1-AS1	5	17089296	17217096
BAZ1A-AS1	14	34874343	34876459
BAZ2B-AS1	2	159615292	159618637
BBS7-DT	4	121870583	121872848
BCAN-AS1	1	156637783	156641004
BCAR3-AS1	1	93591964	93610605
BCAR4	16	11798461	11828977
BCDIN3D-AS1	12	49827913	49841143
BCL10-AS1	1	85276388	85448124
BCORP1	Y	19456585	19484884
BDNF-AS	11	27506808	27698231
BET1-AS1	7	93969438	94066804
BHLHE40-AS1	3	4896806	4980414
BICD1-AS1	12	32079817	32107528
BISPR	19	17405686	17419324
BMP2K-DT	4	78768321	78775973
BMP8B-AS1	1	39779969	39781418
BMS1P1	10	46788397	46799819
BMS1P4	10	73699151	73730487
BOLA3-DT	2	74147044	74156983
BSG-AS1	19	562360	572404
BSN-AS1	3	49640483	49641769
BSN-DT	3	49534453	49554374
BTG1-DT	12	92144900	92252555
BTG2-DT	1	203292301	203321067
BTG3-AS1	21	17611691	17643997
BTN2A3P	6	26422119	26431615
C10orf55	10	73908103	73922810
C10orf95-AS1	10	102435771	102461106
C1orf167-AS1	1	11777077	11779619
C1orf220	1	178542752	178548889
C1QTNF1-AS1	17	79018131	79027673
C1RL-AS1	12	7107990	7122849
C2CD5-AS1	12	22409237	22618873
C3P1	19	10037803	10074135
C5orf34-AS1	5	43483545	43545445
C8orf34-AS1	8	68302228	68331689
C8orf44	8	66667475	66685564
CA3-AS1	8	85440537	85469968
CA5BP1	X	15681053	15703192
CABP1-DT	12	120628830	120641922
CACNA1C-AS3	12	2603350	2607440
CACNA2D1-AS1	7	82009177	82029955
CALCRL-AS1	2	187003220	187556288
CALML3-AS1	10	5510036	5551111
CAPN1-AS1	11	65177606	65181834
CAPN10-DT	2	240581277	240586699
CARD8-AS1	19	48255675	48258199
CARMAL	15	89040995	89082835
CARMN	5	149406609	149432835
CARNMT1-AS1	9	74952968	74996579
CASC11	8	127686343	127739022
CASC15	6	21664164	22660021
CASC19	8	127072694	127227541
CASC2	10	118046279	118210158
CASC6	6	91557292	91690428
CASC9	8	75120407	75352327
CASP4LP	11	104903453	104909915
CASTOR3P	7	100222597	100271983
CATIP-AS2	2	218326247	218358002
CATSPER2P1	15	43727181	43745165
CAVIN2-AS1	2	191844916	192085236
CBLL1-AS1	7	107739999	107744601
CBR3-AS1	21	36098090	36175815
CCDC13-AS2	3	42770562	42773795
CCDC144BP	17	18542155	18625447
CCDC144NL	17	20893392	20896020
CCDC144NL-AS1	17	20841125	21002324
CCDC15-DT	11	124949192	124954044
